node,cells
n1,0
n2,0
n3,50
n4,0
n5,50
n6,0
n7,50
n8,0
n9,0
n10,0
n11,0
n12,0
n13,0
n14,0
n15,0
n16,50
n17,0
n18,0
n19,0
n20,0
n21,50
n22,0
n23,50
n24,0
