node,turbines
n339,838.4564
n340,622.2456
n341,1269.9209
n342,380.2559
n343,1101.3446
n344,354.574
n345,1972.6064
n346,1028.043
n347,571.9376
n348,814.9668
n349,471.6289
n350,507.5937
n351,1340.1086
n352,676.3186
n353,1790.748
n354,689.7327
n355,419.0485
n356,645.3573
n357,1240.2581
n358,592.5848
n359,492.5946
n360,764.0416
n361,1481.5834
n362,586.0099
n363,827.8319
n364,853.2936
n365,412.172
n366,866.9748
n367,955.8492
n368,2755.8966
n369,557.6783
n370,923.0813
n371,841.3232
n372,771.8661
n373,983.8308
n374,1306.1
n375,619.1142
n376,767.4444
n377,1049.7629
n378,1598.4047
n379,1256.9657
n380,837.2089
n381,520.7926
n382,701.9972
n383,1209.6908
n384,596.3298
n385,737.0773
n386,1126.5175
n387,319.6126
n388,1247.116
n389,380.9823
n390,1063.2018
n391,3457.9023
n392,923.6031
n393,848.9159
n394,443.3963
n395,322.1535
n396,1035.3934
n397,214.239
n398,1358.6224
n399,964.474
n400,715.7737
n401,619.0202
n402,610.6528
n403,1185.9202
n404,229.8472
n405,877.5277
n406,260.7338
n407,382.2012
n408,711.0928
n409,3097.9251
n410,460.3805
n411,683.5056
n412,1000.6148
n413,405.0235
n414,459.0723
n415,450.9187
n416,700.0564
n417,823.4085
n418,427.207
n419,1209.2664
n420,692.3797
n421,1298.6257
n422,228.8066
n423,382.9235
n424,291.518
n425,890.3421
n426,750.2717
n427,563.4105
n428,473.3304
n429,506.514
n430,168.5865
n431,153.1452
n432,1194.3685
n433,1768.915
n434,443.4639
n435,1094.4743
n436,472.8257
n437,319.2949
n438,737.2338
n439,367.2858
n440,713.5544
n441,213.8604
n442,563.0789
n443,536.0935
n444,198.7107
n445,570.6506
n446,879.3281
n447,244.0996
n448,1181.9965
n449,414.1786
n450,799.2523
n451,3042.8603
n452,489.1081
n453,904.9866
n454,563.9587
n455,907.5935
n456,1117.7107
n457,735.5232
n458,651.1748
n459,301.6471
n460,531.9154
n461,365.1942
n462,533.8561
n463,1136.5222
n464,848.525
n465,1026.2586
n466,541.8293
n467,547.4716
n468,863.4608
n469,1145.9955
n470,334.0648
n471,405.9252
n472,1094.1457
n473,2659.7522
n474,1034.5665
n475,681.1449
n476,1103.4067
n477,1423.9937
n478,516.0445
n479,812.0679
n480,700.9758
n481,503.9812
n482,335.7276
n483,574.9632
n484,891.286
n485,851.169
n486,379.013
n487,243.8148
n488,1188.185
n489,1011.2336
n490,953.1782
n491,1131.4811
n492,1437.4959
n493,334.8505
n494,394.3512
n495,1852.4678
n496,514.6041
n497,488.1364
n498,380.5517
n499,334.4271
n500,1640.1327
n501,770.6826
n502,273.2409
n503,715.9672
n504,1052.7788
n505,588.2813
n506,557.3357
n507,661.0685
n508,832.9246
n509,238.7457
n510,243.1048
n511,463.0763
n512,614.2262
n513,1380.201
n514,288.574
n515,1906.1112
n516,181.943
n517,624.3793
n518,625.2989
n519,707.2693
n520,493.1376
n521,426.129
n522,1340.1614
n523,404.8665
n524,643.5558
n525,766.0075
n526,931.5699
n527,730.527
n528,875.139
n529,794.946
n530,565.7394
n531,516.7181
n532,1947.46
n533,1014.4512
n534,335.3793
n535,395.7454
n536,1771.5869
n537,473.0285
n538,535.0246
n539,562.0824
n540,566.3092
n541,503.4407
n542,575.3905
n543,532.6829
n544,536.886
n545,667.7662
n546,700.581
n547,397.9041
n548,413.7525
n549,397.2845
n550,350.9112
n551,614.1037
n552,382.4314
n553,827.7965
n554,521.3771
n555,351.0058
n556,397.9603
n557,558.0888
n558,200.9259
n559,77.2263
n560,387.0117
n561,138.8798
n562,216.5174
n563,92.6403
n564,310.1871
n565,169.6248
n566,477.3399
n567,387.373
n568,138.8912
n569,185.0013
n570,324.288
n571,371.399
n572,401.8359
n573,431.8046
