node,cells
n392,866.8886
n393,796.7877
n394,416.1693
n395,302.3715
n396,971.8144
n397,201.0835
n398,1275.1954
n399,905.2498
n400,671.8212
n401,581.0089
n402,573.1553
n403,1113.098
n404,215.7333
n405,823.6425
n406,244.7233
n407,358.7319
n408,667.4277
n409,1009.9259
n410,432.1106
n411,641.5345
n412,939.1714
n413,380.1527
n414,430.8827
n415,423.2297
n416,657.069
n417,772.8466
n418,400.9741
n419,955.6573
n420,649.8637
n421,1218.8828
n422,214.7566
n423,359.4098
n424,273.6171
n425,835.67
n426,704.2007
n427,528.8139
n428,444.2653
n429,475.4112
n430,158.2343
n431,143.7413
n432,1121.0276
n433,1660.2936
n434,416.2327
n435,1027.2674
n436,443.7915
n437,299.6884
n438,691.9635
n439,344.7324
n440,669.7382
n441,200.7282
n442,528.5026
n443,503.1743
n444,186.5088
n445,535.6095
n446,825.3324
n447,229.1105
n448,1109.4153
n449,388.7457
n450,750.1737
n451,1383.1186
n452,459.0741
n453,849.4153
n454,529.3285
n455,851.8621
n456,1049.0769
n457,690.358
n458,611.189
n459,283.1243
n460,499.2528
n461,342.7692
n462,501.0744
n463,1066.7333
n464,796.4208
n465,963.2405
n466,508.5579
n467,513.8537
n468,810.4394
n469,1075.6249
n470,313.5514
n471,380.9991
n472,1026.959
n473,1492.1824
n474,971.0383
n475,639.3187
n476,1035.6513
n477,1336.5524
n478,484.3564
n479,762.2024
n480,657.9319
n481,473.0339
n482,315.112
n483,539.6572
n484,836.556
n485,798.9024
n486,355.7395
n487,228.8432
n488,1115.2237
n489,949.1381
n490,894.6476
n491,1062.0018
n492,1349.2255
n493,314.2888
n494,370.1358
n495,1504.8839
n496,483.0045
n497,458.162
n498,357.1837
n499,313.8913
n500,1539.4193
n501,482.299
n502,227.971
n503,672.0028
n504,973.8168
n505,396.433
n506,523.1121
n507,620.4752
n508,469.3505
n509,224.0853
n510,199.677
n511,434.6408
n512,576.5093
n513,1295.4489
n514,171.0986
n515,1459.3525
n516,42.725
n517,543.1094
n518,586.902
n519,451.8883
n520,462.8561
n521,285.6573
n522,1257.8679
n523,380.0054
n524,604.0378
n525,479.1401
n526,874.3662
n527,685.6685
n528,821.4005
n529,746.1319
n530,530.9998
n531,484.9886
n532,1630.5948
n533,952.1582
n534,314.7851
n535,371.4444
n536,739.8922
n537,443.9819
n538,502.1711
n539,527.5674
n540,531.5347
n541,472.5266
n542,540.0583
n543,499.9731
n544,503.9181
n545,626.7616
n546,657.5613
n547,373.4706
n548,388.3458
n549,372.889
n550,329.3633
n551,576.3943
n552,358.948
n553,776.9652
n554,489.3616
n555,329.452
n556,373.5233
n557,523.819
n558,188.588
n559,72.4842
n560,363.247
n561,130.3518
n562,203.222
n563,86.9516
n564,291.1398
n565,159.2089
n566,448.0285
n567,363.5861
n568,130.3625
n569,173.6412
n570,304.3749
n571,348.593
n572,377.1609
n573,405.2893
n574,496.0685
n575,736.6839
n576,276.0824
n577,509.1233
n578,261.2381
n579,188.8582
n580,539.2566
n581,553.0226
n582,623.0993
n583,188.6678
n584,520.6789
n585,217.872
n586,389.7187
n587,130.5323
n588,553.3957
n589,547.0525
n590,245.5947
n591,145.1357
n592,302.8168
n593,232.4889
n594,347.5079
n595,188.5076
n596,361.3488
n597,174.2499
n598,173.1178
n599,390.5395
n600,232.196
n601,375.2602
n602,273.1414
n603,245.0252
n604,374.94
n605,274.1474
n606,173.0027
n607,259.8199
n608,231.2971
n609,461.3147
n610,905.4609
n611,317.8828
n612,576.9981
n613,934.1374
n614,962.6753
n615,735.8198
n616,547.1919
n617,1259.4882
n618,635.6263
n619,1004.1886
n620,778.6309
n621,485.7059
n622,992.2422
n623,601.388
n624,817.1709
n625,561.4039
n626,517.5367
n627,461.0018
n628,331.3284
n629,656.4423
n630,967.8949
n631,934.6646
n632,1111.2109
n633,645.5009
n634,1068.6484
n635,410.1874
n636,322.404
n637,217.3986
n638,395.7628
n639,539.9765
n640,685.134
n641,351.1962
n642,540.5354
n643,278.7466
n644,540.9528
n645,494.4011
n646,541.6795
n647,318.9379
n648,582.3584
n649,550.0597
n650,641.8349
n651,450.1898
n652,379.7569
n653,350.8647
n654,526.5474
n655,334.4877
n656,277.3851
n657,521.7669
n658,620.5334
n659,466.0732
n660,349.213
n661,290.6292
n662,188.8168
n663,233.1619
n664,650.1824
n665,437.6548
n666,406.2156
n667,613.3987
n668,102.0366
n669,752.7249
n670,218.6162
n671,478.714
n672,715.9528
n673,726.922
n674,538.6643
n675,364.2786
n676,476.8623
n677,993.6713
n678,735.8721
n679,551.3144
n680,510.2474
n681,824.2808
n682,696.7344
n683,816.7354
n684,618.9383
n685,712.4931
n686,839.9902
n687,683.7988
n688,1001.7889
n689,276.6425
n690,977.7373
n691,649.1112
n692,906.868
n693,524.4059
n694,636.9211
n695,736.4521
n696,1005.3822
n697,872.7449
n698,115.7089
n699,1152.2455
n700,303.4707
n701,333.3655
n702,792.2589
n703,1546.7051
n704,519.604
n705,87.0351
n706,290.3287
n707,508.4907
n708,1164.3904
n709,930.4542
n710,2656.6257
n711,634.1386
n712,29.0338
n713,2590.2045
n714,14.519
n715,431.4493
n716,1379.7666
n717,14.5162
n718,2027.3806
n719,217.4793
n720,612.6695
n721,364.2249
n722,1426.529
n723,1356.1653
n724,2879.6751
n725,1572.0235
n726,653.3381
n727,2346.6863
n728,1721.7998
n729,639.2047
n730,2826.9992
n731,1266.003
n732,857.2195
n733,713.7691
n734,2067.5906
n735,1133.5458
n736,479.7562
n737,401.7985
n738,1629.6135
n739,596.4156
n740,130.7721
n741,624.9309
n742,1353.1343
n743,1411.3617
n744,29.031
n745,1627.3533
n746,1147.9496
n747,973.3859
n748,1917.0527
n749,1073.473
n750,608.8167
n751,1636.6078
n752,260.5338
n753,1431.0722
n754,980.8371
n755,2288.7769
n756,746.7772
n757,1075.0758
n758,2742.3003
n760,1780.0836
n761,186.4393
n762,856.6602
n763,1046.7319
n764,14.3391
n765,931.2889
n766,14.3193
n767,276.2602
n768,1715.0364
n769,1233.9921
n770,764.7753
n771,875.9507
n772,1055.3724
n773,844.8462
n774,616.408
n775,1425.9625
n776,1394.5189
n777,451.7892
n778,1228.2785
n779,1149.1301
n780,1648.4538
n781,554.5628
n782,1743.718
n783,277.096
n784,350.6249
n785,524.3571
n786,839.4907
n787,291.6108
n788,862.9409
n789,594.3164
n790,598.5026
n791,828.7309
n792,2773.9642
n793,261.4728
n794,448.1867
n795,435.2249
n796,463.3547
n797,2076.9524
n798,290.8701
n799,275.9047
n800,976.8513
n801,706.223
n802,515.2795
n803,291.1394
n804,276.2539
n805,161.843
n806,896.8761
n807,419.9853
n808,1031.1947
n809,769.1592
n810,495.1432
n811,332.791
n812,1249.0708
n813,1695.9737
n814,1324.4267
n815,622.3979
n816,772.9802
n817,654.0785
n818,1127.9107
n819,1409.0145
n820,745.3131
n821,232.9825
n822,702.3804
n823,724.0023
n824,1311.1069
n825,1040.6233
n826,262.4239
n827,437.9016
n828,203.7734
n829,678.3257
n830,407.0125
n831,306.9288
n832,624.0041
n833,276.8532
n834,680.2507
n835,663.5546
