Generator,TotalRevenue,TotalProduction,NumberofS/U,Capacity,MarginalCost,S/Ucost,FixedO&MCost,VarO&MCost,LevelizedCapitalCost,PrimaryFuel
TeruelAndorraCoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
MunchenSudCCGTCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
BrillanneI,0,0,0,0,0,0,0,0,0,0
Vilvoorde(VerbrandeBrug)CCGTPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
RijekaThermalPowerPlantCroatia,0,0,0,0,0,0,0,0,0,0
MaasvlakteElectrabelCoalPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
LotHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
SainteCroixHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
DalkiaLodzEC2CHPPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
HamburgMoorburgCHPCoalPowerPlantGerrmany,0,0,0,0,0,0,0,0,0,0
Donaustadt13PowerPlantAustria,0,0,0,0,0,0,0,0,0,0
UjpestCCGTCHPPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
VrbenHydroelectricPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
PerucaHydroelectricPowerPlantCroatia,0,0,0,0,0,0,0,0,0,0
CharlottenburgCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
MaritsaIztok3CoalPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
ScandaleCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
DampierreNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
EdisonMargheraLevanteCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
EdipowerSanFilippodelMelaThermalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
ReguaHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
TEKolubaraCoalPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
ZurHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
BergkamenCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
MannheimCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
KostolnaHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
RandersCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
GerlosIIIHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
CastillonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
RostockCHPCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
KreplanyHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
LudusLernut(Mures)PowerStationRomania,0,0,0,0,0,0,0,0,0,0
KraljevacHydroelectricPowerPlantCroatia,0,0,0,0,0,0,0,0,0,0
SaintCassienHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Presenzano(DomenicoCimarosa)PumpedStoragePowerPlantItaly,0,0,0,0,0,0,0,0,0,0
HeiddeGoreuxHydroelectricPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
HerdeckeCCGTPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
TuxbachHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
MontezicPumpStorageHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GolinhacHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
PinetHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
WendefurthPumpedStoragePowerPlantGermany,0,0,0,0,0,0,0,0,0,0
GambsheimHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Maasvlakte3USCcoalPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
KellersbergHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
LavarioThermalPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
VerboisHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
KoronowoHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
EmslandNuclearPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
MarkersbachPumpedStoragePowerPlantGermany,0,0,0,0,0,0,0,0,0,0
EdipowerTurbigoThermalandCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
SaintChamasHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GrodekHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
Djerdap1(IronGateI)HydroelectricPowerStationSerbia,0,0,0,0,0,0,0,0,0,0
Buggenum(WillemAlexander)IGCCPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
LavarioVCCGTPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
TurceniCoalPowerStationRomania,0,0,0,0,0,0,0,0,0,0
ProvenceCoalPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Werne(GersteinwerkBlockK)CoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
DK6(Dunkerque)CCGTGasPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
FierThermalPowerPlantAlbania(Shutdown),0,0,0,0,0,0,0,0,0,0
NikolaTeslaACoalPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
Brestanica(TEB)GasPowerPlantSlovenia,0,0,0,0,0,0,0,0,0,0
CETBacauCHPPRomania,0,0,0,0,0,0,0,0,0,0
RuzinPumpedStorageHydroelectricPowerplantSlovakia,0,0,0,0,0,0,0,0,0,0
ObervermuntHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
PuentesCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
Hemweg9CCGTCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
RanceTidalHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
KamykHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
ShellPernisPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
MatraCoalPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
CiernyVahPumpedStorageHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
OrfeusPumpedStorageHydroelectricPowerPlantBulgeria,0,0,0,0,0,0,0,0,0,0
TouvedoHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
Amorebieta(Boroa)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
ZeranCHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
ProtergiaCCGTPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
CETBucharestProgresuCHPPPowerPlantRomania,0,0,0,0,0,0,0,0,0,0
WedelCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
ChancyPougnyHydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
SorgeniaTermoliCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
AmpsinNeuvilleHydroelectricPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
VouglansHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
BorsseleNuclearPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
MaasvlakteUCMLCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
KomanHydroelectricPowerStationAlbania,0,0,0,0,0,0,0,0,0,0
KralovaHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
MolCoalPowerPlantBelgium(Shutdown),0,0,0,0,0,0,0,0,0,0
Wybrzeze(Gdansk/Gdynia)CHPPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
ThessalonikiCCGTPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
LipnoHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
EgetsHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
MyczkowceHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
LedviceCoalPowerPlantCzech,0,0,0,0,0,0,0,0,0,0
EdisonTorviscosaCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
GelderlandCoalPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
CouesqueHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
KrakowCHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
NogentNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
VermuntHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
PoyrnariIHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
Pannonpower(Pecs)ThermalPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
ViandenPumpedStoragePowerPlantLuxembourg,0,0,0,0,0,0,0,0,0,0
Malaga(Campanillas)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
RosshagPumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
TauronStalowaWolaCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
CunovoHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
PljevljaCoalPowerPlantMontenegro,0,0,0,0,0,0,0,0,0,0
BelchatowIICoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
ArgentatHydroelectricGeneratingStation,0,0,0,0,0,0,0,0,0,0
ChaudanneHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GolfechNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
MaritsaIztok1CoalPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
CETBrasovCHPPRomania,0,0,0,0,0,0,0,0,0,0
MarcillacHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
LanabregasHydroelectricPowerStationAlbania,0,0,0,0,0,0,0,0,0,0
MarckolsheimHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
HautefageHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
AlmereCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
RomagTermoCHPPRomania,0,0,0,0,0,0,0,0,0,0
KyndbyThermalPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
Handeck2HydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
TurowCHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
CussetJonageHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GojakHydroelectricPowerPlantCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
BorsseleCoalPowerPlantNetherland,0,0,0,0,0,0,0,0,0,0
FunsingauHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
PasajesCoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
ThermieSerresCHPPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
IsalnitaCoalPowerPlantRomania,0,0,0,0,0,0,0,0,0,0
SisteronHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Thesavros(Thesaurus)HydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
SalzburgMitteCHPPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
GolubicHydroelectricPowerPlantCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
LünenTrianelCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
ShkopetHydroelectricPowerStationAlbania,0,0,0,0,0,0,0,0,0,0
BarreiroCogenThermalPowerPlantBrazil,0,0,0,0,0,0,0,0,0,0
GackoCoalCHPPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
StudstrupCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
KnepperCHPCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
Besos5CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
A2AGissiCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
ENELLaCasellaPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
DuisbergHuckingenCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
BerlinMiteCCGTCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
LogisNeufHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
ButgenbachHydroelectricPowerplantBelgium,0,0,0,0,0,0,0,0,0,0
PrunerovIandIICHPCoalPowerPlantCzeech,0,0,0,0,0,0,0,0,0,0
AnllaresCoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
YbbsPersenburgHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
KalloThermalPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
LingenCogenerationPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
OslomejCoalPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
CompostillaIICoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
MellachCCGTPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
ENELPrioloGargallo(Archimede)CCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
Cheylas(Le)HydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
LiptovskaMaraPumpedStorageHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
Kesznyeten(Hernadviz)HydroelectricPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
MonsinHydroelectricPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
DukovanyNuclearPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
SklopeHydroelectricPowerPlantCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
BeznauNuclearPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
Santurtzi(Santurce)CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
WloclawekHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
ChairaPumpedStorageHydroelectricPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
TrencinHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
GoldisthalPumpedStoragePowerPlantGermany,0,0,0,0,0,0,0,0,0,0
TapadadeOuterioCCGTPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
IronGateIIHydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
DattelnCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
StechoviceIHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
CentraledeLucyCoalPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Sarlux(Cagliari)IGCCPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
TimelkamCCGTCHPPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
LudwigshafenMitteCCGTCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
AbonoThermalPowerplantSpain,0,0,0,0,0,0,0,0,0,0
PenlyReprocessingandNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
LarderelloGeothermalPowerStationItaly,0,0,0,0,0,0,0,0,0,0
KardiaCoalPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
TrebinjeIIHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
LeopoldauCHPPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
Castellon4CCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
Galceag(Oasa)HydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
LitoraldeAlmeira(Carboneras)CoalPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
Ham(Ghent)OCGTandHeatPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
HornaStredaHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
TemelinNuclearPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
DubnicanadVahomHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
SisakThermalPowerPlantCroatia,0,0,0,0,0,0,0,0,0,0
NoviSadCHPPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
Hemweg8CoalPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
ArgentiereLaBesseeHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
SremskaMitrovicaCHPPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
PuertollanoIGCCPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
CaldeiraoHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
AlranceHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
StrasbourgHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Delesto2CCGTPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
HornaingBCoalPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
NikolaTeslaBCoalPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
KoralpePumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
JaworznoIICHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
CristobalColonCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
PatnowIICoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
LangeweideCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
FWITeverolaCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
DubravaHydroelectricPowerPlantCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
Sautet(Le)HydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
AllementHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
HeilbronnCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
Franken1PowerPlantGermany,0,0,0,0,0,0,0,0,0,0
SvetaPekaHydroelectricPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
Sugag(Tau)HydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
KarlsruheRDK7and8PowerPlantGermany,0,0,0,0,0,0,0,0,0,0
GlobocicaHydroelectricPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
SablonsHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
WeisweilerCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
ZrenjaninCHPPowerPlantSerbia,0,0,0,0,0,0,0,0,0,0
BucharestGrozavestiCHPPPowerStationRomania,0,0,0,0,0,0,0,0,0,0
FynsCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
LatschauHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
BradisorHydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
AscoNuclearPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
VillarodinHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
BrunsbüttelOCGTPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
DuisburgWalsumCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
SaintLaurentNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
TirrenoPowerVadoLigureCoalPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
VilarTabuacoHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
StratosHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
PPCBratislavaCCGTCHPPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
AndenneSeillesHydroelectricPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
PoriciCoalPowerPlantCzech,0,0,0,0,0,0,0,0,0,0
OrlikHydroelectricPowerPlantCzechRepublic,0,0,0,0,0,0,0,0,0,0
CanicadaHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
Diemen34CCGTCHPPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
BiblisNuclearPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
RicobayoHydroelectricPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
SparaniseCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
Grand'maisonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
EnstedCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
SeraingCCGTPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
HalembaCoalCHPPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
MaljackaHydroelectricPowerPlantCroatiaCroatia,0,0,0,0,0,0,0,0,0,0
CaderousseHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
NoveMeston.V.HydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
BlénodThermalPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
JajceIIHidroelektranaBosniaandHerzegovin,0,0,0,0,0,0,0,0,0,0
BexbachCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
LippendorfCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
EdisonAltomonteCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
HammUentropCHPCCGTPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
EsbjerbCoalCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
DunamentiIIThermalPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
KakanjCHPPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
AlquevaHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
RodundIIPumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
RibatejoCCGTPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
JajceIHidroelektranaBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
KnippegroenCCGTPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
SaintDalmasHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
MegalopoliCoalPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
CombigolfeCCGTPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
NeurathBOACoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
WerdohlElverlingsenECoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
MaltaOberstufePumpedStoragePowerPlantAustria,0,0,0,0,0,0,0,0,0,0
BregnierCordonHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
CattenomNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
BielskoBiala(EC1)CHPCoalPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
CapljinaPumpedStoragePowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
MontahutHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Grimsel2PumpedStoragePowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
BatakHydroelectricPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
EscombrerasIberdrolaCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
MarcinelleEnergie(Carsid)CCGTPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
Ljubljana(TETOL)CoalCHPPSlovenia,0,0,0,0,0,0,0,0,0,0
KopsIHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
PerucicaHydroelectricPowerPlantMontenegro,0,0,0,0,0,0,0,0,0,0
TihangeNuclearPowerPlantBelgium,0,0,0,0,0,0,0,0,0,0
ChinonNuclearPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
BobovDolCoalPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
RamaHydroelectricPowerPlantBosniaandHerzegovina,0,0,0,0,0,0,0,0,0,0
UnterweserNuclearPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
Coche(La)HydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
ClausCCCGTPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
SpiljeHydroelectricPowerPlantMacedonia,0,0,0,0,0,0,0,0,0,0
TiszalokHydroelectricPowerPlantHungary,0,0,0,0,0,0,0,0,0,0
ZakucacHydroelectricPowerPlantCroatia,0,0,0,0,0,0,0,0,0,0
BelmekenPumpedStorageHydroelectricPowerPlantBulgaria,0,0,0,0,0,0,0,0,0,0
ZydowoPumpedStorageHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
FratelHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
KladnoCHPThermalPowerPlantCzech,0,0,0,0,0,0,0,0,0,0
ThisviCCGTPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
E.ONTarragonaCCGTPowerPlantSpain,0,0,0,0,0,0,0,0,0,0
RizziconiCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
GoesgenNuclearPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
BeauvoirHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Dragan(Remeti)HydroelectricPowerStationRomania,0,0,0,0,0,0,0,0,0,0
VillachHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
CzchowHydroelectricPowerPlantPoland,0,0,0,0,0,0,0,0,0,0
TriouzouneHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
Maasvlakte12CoalPowerPlantNetherlands,0,0,0,0,0,0,0,0,0,0
TunesOCGTPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
BuschhausCoalPowerStationGermany,0,0,0,0,0,0,0,0,0,0
CarregadoThermalPowerPlantBrazil,0,0,0,0,0,0,0,0,0,0
AltoRabagaoHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
BayetCCGTPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
NosiceHydroelectricPowerPlantSlovakia,0,0,0,0,0,0,0,0,0,0
ShamrockCoalPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
Aminteo(Amyntaio)CoalPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
RoncovalgrandePumpedStoragePowerPlantItaly,0,0,0,0,0,0,0,0,0,0
Handeck1HydroelectricPowerPlantSwitzerland,0,0,0,0,0,0,0,0,0,0
AltoLindosoHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
RönkhausenPumpedStoragePowerPlantGermany,0,0,0,0,0,0,0,0,0,0
CabrilHydroelectricPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
PolyfytoHydroelectricPowerPlantGreece,0,0,0,0,0,0,0,0,0,0
IsarNuclearPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
SvanemolleCHPPowerPlantDenmark,0,0,0,0,0,0,0,0,0,0
SuperBissortePumpedStorageHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
GrandvalHydroelectricPowerPlantFrance,0,0,0,0,0,0,0,0,0,0
BoesdornauHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
PlateTailleHydroelectricPumpedStorageProjectBelgeium,0,0,0,0,0,0,0,0,0,0
EnchanetHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
HerneCoalCHPPowerPlantGermany,0,0,0,0,0,0,0,0,0,0
LicqAthereyHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
WallseeMitterkirchenHydroelectricPowerPlantAustria,0,0,0,0,0,0,0,0,0,0
LaresCCGTPowerPlantPortugal,0,0,0,0,0,0,0,0,0,0
FWIFerraraCCGTPowerPlantItaly,0,0,0,0,0,0,0,0,0,0
MonteyardAvigonnetHydroelectricPowerStationFrance,0,0,0,0,0,0,0,0,0,0
